set,situation,score,passer,location,choice,result,rotation,run
1,sr,1-3,1,io,[BK],4E,1,yes
1,sr,1-4,4,E4,<Red>,8E,1,yes
1,sr,2-4,4,i,51,12K,1,end
1,sr,8-19,1,i,51,12K,1,no
2,sr,1-1,4,i,51,12K,1,no
2,sr,9-12,4,i,FS,12K,1,no
2,sr,16-23,4,io,BK,4C,1,no
3,sr,4-2,13,i,51,12K,1,yes
3,fb,5-2,10,io,31,12C,1,yes
3,sr,11-10,-1,L,BK,4C,1,yes
3,sr,12-10,-1,io,BK,4K,1,end
3,sr,19-19,1,i,[Red],13E,1,yes
3,sr,20-19,13,io,[BK],4K,1,end
1,sr,2-6,10,io,<Red>,4E,6,yes
1,sr,3-6,19,i,61,12K,6,end
1,t,8-20,1,E4,BK,10C,6,no
1,sr,8-22,10,i,[p],8E,6,no
2,t,2-1,1,io,51,12K,6,no
2,t,2-2,10,i,[BK],10E,6,no
2,sr,3-2,10,i,[Red],4K,6,no
2,sr,10-13,10,i,[Red],4K,6,no
3,sr,12-12,-1,E2o,[BK],10C,6,no
3,t,12-12,-1,io,51,12C,6,no
3,sr,21-20,13,i,<Red>,4K,6,no
3,sr,0-0,-1,E2,[BK],10C,5,no
3,sr,22-23,13,i,51,2K,5,no
1,sr,4-10,10,i,[BK],10E,4,yes
1,sr,5-10,8,io,51,2K,4,end
2,sr,11-18,8,i,51,2C,4,no
2,sr,11-19,10,i,51,2C,4,no
2,sr,12-20,10,io,C,4E,4,no
3,sr,15-14,-1,E2o,C,4K,4,no
1,sr,0-0,1,E4o,BK,8E,3,no
2,sr,7-8,10,E4o,BK,2K,3,no
2,sr,14-22,1,E2,51,13K,3,no
3,sr,1-0,13,i,[BK],2K,3,no
3,t,8-7,1,i,51,2C,3,no
3,sr,0-0,13,i,51,2K,3,no
1,sr,0-1,8,L,BK,8E,2,no
1,sr,1-1,1,i,51,12C,2,no
1,t,1-1,-1,i,61,12K,2,no
1,sr,7-18,10,E4o,BK,8K,2,no
2,sr,7-10,1,io,51,12E,2,no
2,t,8-11,1,io,BK,8C,2,no
2,t,8-11,1,E4,BK,8K,2,no
3,sr,2-1,13,io,BK,13K,2,no
3,sr,10-8,13,io,[BK],13K,2,no